153,1597,4664,7265,1438,2492,1446,3451,5199,1866,548,1430,10416,113,199,757,7971,2163,5,10682
2771,1331,4629,4041,2354,939,13362,9474,156,575,2993,521,1718,919,133,80,3462,2227,2952,4142
1580,1660,12000,1333,298,11182,40,6704,9355,11757,580,2377,10721,552,2,6256,2779,2434,4363,651
34,13091,2681,1579,12060,599,2827,202,14856,13558,13994,937,6211,4894,14864,13823,6078,2313,1060,702
3405,14073,2210,3043,12461,4869,9591,1408,2074,7624,1660,8019,12074,3287,5672,2858,7541,676,3438,5744
190,58,569,99,46,12456,14759,14737,11339,14929,1022,12899,11551,3009,11238,7171,14559,367,7562,735
123,1438,163,11673,1430,888,5199,1305,208,4033,1051,22,113,3356,1291,2435,87,35,62,505
351,2506,12,2575,573,1559,7856,1005,5993,370,14004,291,4525,12880,1343,288,137,13941,4818,11314
1805,13622,14192,12845,2684,1988,2041,2163,8717,11771,7333,9096,11810,5954,12782,3814,13393,11889,2194,11365
1345,3933,2450,122,3841,4764,10394,386,2140,6267,675,7783,949,359,604,241,1131,11855,792,1040
94,22,2340,1430,2982,109,6173,3003,11948,1764,5199,5657,1756,4832,7333,3656,1355,1033,2141,10374
9901,841,305,10416,11287,13061,9921,2851,8170,380,529,3412,7343,1292,5012,6936,563,34,367,4306
3838,8229,7704,13597,12042,13823,7514,6063,3148,2991,8279,13170,11393,13094,1364,365,11771,10377,2963,80
262,2307,3841,3933,2011,2450,3923,7187,6261,1345,5420,14182,11601,1040,7197,14876,8275,4216,688,10394
5450,2945,3525,14616,2347,14625,14678,44,3199,202,547,290,10725,7487,6136,845,4308,333,3361,8103
2411,11566,1796,7020,6040,9142,12256,11986,2526,6365,658,2202,1799,4697,7657,373,818,8103,13393,3
8013,14613,605,1282,3348,604,13909,748,9104,12614,2808,12776,9578,5012,6924,13011,2736,904,1782,4044
850,2481,4869,3736,1143,762,2521,2999,14777,515,2174,2071,7090,982,3263,8086,8499,14073,6865,852
7019,10400,85,580,1970,3880,1913,2,10416,9631,31,14281,1778,6226,1776,3148,14859,14912,11138,846
675,329,792,4318,3841,112,3348,1345,3933,6267,386,2359,2011,241,604,4796,949,7197,878,11855
376,2924,3749,401,109,309,9225,131,163,1305,152,313,62,3456,763,199,423,35,14080,1064
3148,936,367,641,1445,14929,356,7789,5538,1735,12918,9061,433,4038,13442,5204,1784,809,4894,13076
7151,2396,11757,5025,7630,161,14134,1976,3052,7679,5552,2280,580,17,635,12612,3384,202,26,207
10927,13439,888,109,2001,10688,2435,9138,2,3913,70,8064,14907,10377,1188,1430,11097,11104,351,12752
1560,834,951,7166,4580,56,10843,4972,1184,1073,8976,2966,9514,5876,13275,2,10727,10013,583,189
10481,1718,4049,2194,105,5876,521,3630,1219,12325,29,40,1042,2762,10977,7829,14015,9594,445,2808
557,9190,187,641,13287,98,11346,141,9,7142,9294,2033,3089,6712,394,1945,430,7733,5405,7696
14747,2707,4010,14660,10548,882,6272,4783,169,13076,7707,8236,7702,1069,3189,11591,9848,333,11855,9694
2924,423,123,401,199,3456,309,3419,3749,2265,376,14198,763,809,4,2042,163,499,313,1291
171,4150,877,229,2732,5275,1,3561,2269,782,2257,4846,7709,5289,4380,2104,4167,6679,14173,3052
1331,8992,104,2354,2771,4629,8704,939,13362,879,14907,156,488,1945,1448,1732,1649,2636,7202,12318
